,quartervalue,avgkw
484,7/18/2018 11:30,160.42603
485,7/18/2018 11:45,160.88191
486,7/18/2018 12:00,160.4783
487,7/18/2018 12:15,159.26202
488,7/18/2018 12:30,156.4073
489,7/18/2018 12:45,159.99924
490,7/18/2018 13:00,157.77719
491,7/18/2018 13:15,158.16704
492,7/18/2018 13:30,158.12758
493,7/18/2018 13:45,158.03291
494,7/18/2018 14:00,153.32748
495,7/18/2018 14:15,157.97906
496,7/18/2018 14:30,158.77458
497,7/18/2018 14:45,158.73701
498,7/18/2018 15:00,158.39354
499,7/18/2018 15:15,155.23096
500,7/18/2018 15:30,156.64618
501,7/18/2018 15:45,158.56697
502,7/18/2018 16:00,156.61507
503,7/18/2018 16:15,157.69035
504,7/18/2018 16:30,160.11934
505,7/18/2018 16:45,158.93774
506,7/18/2018 17:00,158.0382
507,7/18/2018 17:15,157.23611
508,7/18/2018 17:30,158.67772
509,7/18/2018 17:45,158.1882
510,7/18/2018 18:00,157.90674
511,7/18/2018 18:15,156.64899
512,7/18/2018 18:30,156.59003
513,7/18/2018 18:45,159.47636
514,7/18/2018 19:00,161.50708
515,7/18/2018 19:15,159.9848
516,7/18/2018 19:30,162.45053
517,7/18/2018 19:45,162.03258
518,7/18/2018 20:00,160.51682
519,7/18/2018 20:15,159.8427
520,7/18/2018 20:30,159.40195
521,7/18/2018 20:45,161.19537
522,7/18/2018 21:00,160.46805
523,7/18/2018 21:15,156.79701
524,7/18/2018 21:30,159.58788
525,7/18/2018 21:45,157.68665
526,7/18/2018 22:00,158.83955
527,7/18/2018 22:15,157.4844
528,7/18/2018 22:30,159.0828
529,7/18/2018 22:45,157.38513
530,7/18/2018 23:00,153.19293
531,7/18/2018 23:15,160.44409
532,7/18/2018 23:30,162.63412
533,7/18/2018 23:45,160.01857
534,7/19/2018 0:00,160.17236
535,7/19/2018 0:15,159.05585
536,7/19/2018 0:30,161.13092
537,7/19/2018 0:45,161.02563
538,7/19/2018 1:00,159.36823
539,7/19/2018 1:15,159.39944
540,7/19/2018 1:30,158.53178
541,7/19/2018 1:45,156.40382
542,7/19/2018 2:00,156.82419
543,8/29/2018 7:00,155.3945
544,8/29/2018 7:15,159.42009
545,8/29/2018 7:30,157.5343
546,8/29/2018 7:45,154.58432
547,8/29/2018 8:00,156.24788
548,8/29/2018 8:15,155.11118
549,8/29/2018 8:30,155.14236
550,8/29/2018 8:45,155.12506
551,8/29/2018 9:00,154.77473
552,8/29/2018 9:15,154.36191
553,8/29/2018 9:30,154.39868
554,8/29/2018 9:45,153.73083
555,8/29/2018 10:00,153.9678
556,8/29/2018 10:15,154.65182
557,8/29/2018 10:30,152.82883
558,8/29/2018 10:45,151.44942
559,8/29/2018 11:00,155.31422
560,8/29/2018 11:15,156.67023
561,8/29/2018 11:30,157.04208
562,8/29/2018 11:45,156.73299
563,8/29/2018 12:00,154.65038
564,8/29/2018 12:15,156.2109
565,8/29/2018 12:30,154.98601
566,8/29/2018 12:45,156.6556
567,8/29/2018 13:00,154.29802
568,8/29/2018 13:15,155.76
569,8/29/2018 13:30,155.12428
570,8/29/2018 13:45,156.67673
571,8/29/2018 14:00,158.875
572,8/29/2018 14:15,157.1727
573,8/29/2018 14:30,154.32932
574,8/29/2018 14:45,152.54245
575,8/29/2018 15:00,156.31363
576,8/29/2018 15:15,157.98067
577,8/29/2018 15:30,152.84079
578,8/29/2018 15:45,157.65204
579,8/29/2018 16:00,158.30144
580,8/29/2018 16:15,155.98352
581,8/29/2018 16:30,157.85156
582,8/29/2018 16:45,158.62247
583,8/29/2018 17:00,159.05397
584,8/29/2018 17:15,157.37917
585,8/29/2018 17:30,156.45041
586,8/29/2018 17:45,158.39752
587,8/29/2018 18:00,159.97278
588,8/29/2018 18:15,154.96646
589,8/29/2018 18:30,155.92082
590,8/29/2018 18:45,155.79517
591,8/29/2018 19:00,156.63089
592,8/29/2018 19:15,157.18994
593,8/29/2018 19:30,158.44504
594,8/29/2018 19:45,157.0661
595,8/29/2018 20:00,154.75768
596,8/29/2018 20:15,157.1185
597,8/29/2018 20:30,157.85219
598,8/29/2018 20:45,158.8004
599,8/29/2018 21:00,156.47954
600,8/29/2018 21:15,153.42393
601,8/29/2018 21:30,154.84088
602,8/29/2018 21:45,156.92757
603,8/29/2018 22:00,157.29129
604,8/29/2018 22:15,158.7195
605,8/29/2018 22:30,156.04631
606,8/29/2018 22:45,155.60385
607,8/29/2018 23:00,155.68344
608,8/29/2018 23:15,158.79118
609,8/29/2018 23:30,159.2457
610,8/29/2018 23:45,159.82889
611,8/30/2018 0:00,157.98343
612,8/30/2018 0:15,156.25325
613,8/30/2018 0:30,155.68242
614,8/30/2018 0:45,155.28801
615,8/30/2018 1:00,158.18683
616,8/30/2018 1:15,157.12682
617,8/30/2018 1:30,157.99016
618,8/30/2018 1:45,157.99597
619,8/30/2018 2:00,156.69781
620,8/30/2018 2:15,155.31737
621,8/30/2018 2:30,156.6394
622,8/30/2018 2:45,155.67113
623,8/30/2018 3:00,154.7582
624,8/30/2018 3:15,158.42079
625,8/30/2018 3:30,154.81183
626,8/30/2018 3:45,154.0408
627,8/30/2018 4:00,152.36623
628,8/30/2018 4:15,154.04143
629,8/30/2018 4:30,152.82965
630,8/30/2018 4:45,150.23979
631,8/30/2018 5:00,152.15816
632,8/30/2018 5:15,156.17671
633,8/30/2018 5:30,154.63725
634,8/30/2018 5:45,153.45352
635,8/30/2018 6:00,152.85149
636,8/30/2018 6:15,154.16524
637,8/30/2018 6:30,153.39171
638,8/30/2018 6:45,156.55963
639,7/13/2018 7:00,156.07399
640,7/13/2018 7:15,159.86746
641,7/13/2018 7:30,159.36441
642,7/13/2018 7:45,157.52274
643,7/13/2018 8:00,156.99944
644,7/13/2018 8:15,157.0493
645,7/13/2018 8:30,158.3304
646,7/13/2018 8:45,156.4343
647,7/13/2018 9:00,155.71246
648,7/13/2018 9:15,157.27284
649,7/13/2018 9:30,157.18451
650,7/13/2018 9:45,156.71031
651,7/13/2018 10:00,157.42978
652,7/13/2018 10:15,157.82753
653,7/13/2018 10:30,154.67207
654,7/13/2018 10:45,153.89362
655,7/13/2018 11:00,155.73697
656,7/13/2018 11:15,159.01186
657,7/13/2018 11:30,160.42468
658,7/13/2018 11:45,159.48332
659,7/13/2018 12:00,159.73724
660,7/13/2018 12:15,160.09058
661,7/13/2018 12:30,158.16124
662,7/13/2018 12:45,158.345
663,7/13/2018 13:00,157.92915
664,7/13/2018 13:15,158.84767
665,7/13/2018 13:30,158.26006
666,7/13/2018 13:45,157.92181
667,7/13/2018 14:00,155.62975
668,7/13/2018 14:15,156.15796
669,7/13/2018 14:30,154.75099
670,7/13/2018 14:45,155.2332
671,7/13/2018 15:00,156.37822
672,7/13/2018 15:15,158.83232
673,7/13/2018 15:30,156.5166
674,7/13/2018 15:45,157.75551
675,7/13/2018 16:00,156.16006
676,7/13/2018 16:15,153.97165
677,7/13/2018 16:30,155.09254
678,7/13/2018 16:45,155.67961
679,7/13/2018 17:00,159.31151
680,7/13/2018 17:15,156.87839
681,7/13/2018 17:30,157.17357
682,7/13/2018 17:45,157.17574
683,7/13/2018 18:00,157.84581
684,7/13/2018 18:15,157.11014
685,7/13/2018 18:30,157.2354
686,7/13/2018 18:45,157.96873
687,7/13/2018 19:00,158.31595
688,7/13/2018 19:15,157.50125
689,7/13/2018 19:30,158.8437
690,7/13/2018 19:45,157.74951
691,7/13/2018 20:00,157.73364
692,7/13/2018 20:15,157.33014
693,7/13/2018 20:30,159.03674
694,7/13/2018 20:45,158.12708
695,7/13/2018 21:00,156.5895
696,7/13/2018 21:15,154.79979
697,7/13/2018 21:30,161.17957
698,7/13/2018 21:45,161.62106
699,7/13/2018 22:00,162.33028
700,7/13/2018 22:15,160.62831
701,7/13/2018 22:30,160.07237
702,7/13/2018 22:45,160.39052
703,7/13/2018 23:00,161.97464
704,7/13/2018 23:15,158.90659
705,7/13/2018 23:30,158.67368
706,7/13/2018 23:45,158.4901
707,7/14/2018 0:00,159.9479
708,7/14/2018 0:15,161.04219
709,7/14/2018 0:30,159.34294
710,7/14/2018 0:45,158.88548
711,7/14/2018 1:00,156.96812
712,7/14/2018 1:15,157.2738
713,7/14/2018 1:30,158.7325
714,7/14/2018 1:45,158.49629
715,7/14/2018 2:00,160.0444
716,7/14/2018 2:15,159.67403
717,7/14/2018 2:30,156.16608
718,7/14/2018 2:45,154.87007
719,7/14/2018 3:00,157.4721
720,7/14/2018 3:15,161.29912
721,7/14/2018 3:30,159.24138
722,7/14/2018 3:45,155.59001
723,7/14/2018 4:00,154.38535
724,7/14/2018 4:15,156.49706
725,7/14/2018 4:30,155.74255
726,7/14/2018 4:45,158.16508
727,7/14/2018 5:00,159.59657
728,7/14/2018 5:15,161.43228
729,7/14/2018 5:30,157.28172
730,7/14/2018 5:45,155.83624
731,7/14/2018 6:00,156.93716
732,7/14/2018 6:15,158.15094
733,7/14/2018 6:30,155.59421
734,7/14/2018 6:45,155.99277
735,7/22/2018 7:00,156.17252
736,7/22/2018 7:15,157.37543
737,7/22/2018 7:30,156.2124
738,7/22/2018 7:45,155.56934
739,7/22/2018 8:00,158.76282
740,7/22/2018 8:15,155.72969
741,7/22/2018 8:30,156.58817
742,7/22/2018 8:45,156.37688
743,7/22/2018 9:00,156.92114
744,7/22/2018 9:15,156.73006
745,7/22/2018 9:30,158.72525
746,7/22/2018 9:45,156.31046
747,7/22/2018 10:00,156.73593
748,7/22/2018 10:15,158.91812
749,7/22/2018 10:30,157.59937
750,7/22/2018 10:45,156.8934
751,7/22/2018 11:00,157.00519
752,7/22/2018 11:15,157.32639
753,7/22/2018 11:30,157.03572
754,7/22/2018 11:45,157.2013
755,7/22/2018 12:00,156.97258
756,7/22/2018 12:15,156.44666
757,7/22/2018 12:30,154.45778
758,7/22/2018 12:45,156.57721
759,7/22/2018 13:00,159.48541
760,7/22/2018 13:15,159.05513
761,7/22/2018 13:30,156.02525
762,7/22/2018 13:45,156.60037
763,7/22/2018 14:00,157.37384
764,7/22/2018 14:15,157.0643
765,7/22/2018 14:30,155.78227
766,7/22/2018 14:45,154.0744
767,7/22/2018 15:00,156.21243
768,7/22/2018 15:15,157.62923
769,7/22/2018 15:30,158.64203
770,7/22/2018 15:45,157.65404
771,7/22/2018 16:00,156.54425
772,7/22/2018 16:15,157.22441
773,7/22/2018 16:30,157.56929
774,7/22/2018 16:45,158.19649
